country,isic_code,measure,reporting_year,currency,power_code,value,prtr_system,value_usd,aggregate
AUS,A,Current prices,1993,AUD,Millions,15578.0,NPI,11216.16,3
AUS,B,Current prices,1993,AUD,Millions,20168.0,NPI,14520.96,5
AUS,C,Current prices,1993,AUD,Millions,61617.0,NPI,44364.24,24
AUS,D,Current prices,1993,AUD,Millions,16125.0,NPI,11610.0,1
AUS,F,Current prices,1993,AUD,Millions,27050.0,NPI,19476.0,3
AUS,G,Current prices,1993,AUD,Millions,46246.0,NPI,33297.119999999995,2
AUS,H,Current prices,1993,AUD,Millions,21933.0,NPI,15791.76,5
AUS,I,Current prices,1993,AUD,Millions,11278.0,NPI,8120.16,2
AUS,J,Current prices,1993,AUD,Millions,18296.0,NPI,13173.119999999999,2
AUS,K,Current prices,1993,AUD,Millions,31597.0,NPI,22749.84,3
AUS,L,Current prices,1993,AUD,Millions,47135.0,NPI,33937.2,1
AUS,M,Current prices,1993,AUD,Millions,18804.0,NPI,13538.88,7
AUS,N,Current prices,1993,AUD,Millions,8861.0,NPI,6379.92,6
AUS,O,Current prices,1993,AUD,Millions,27365.0,NPI,19702.8,1
AUS,P,Current prices,1993,AUD,Millions,22171.0,NPI,15963.119999999999,1
AUS,Q,Current prices,1993,AUD,Millions,24514.0,NPI,17650.079999999998,3
AUS,R,Current prices,1993,AUD,Millions,3809.0,NPI,2742.48,4
AUS,S,Current prices,1993,AUD,Millions,9747.0,NPI,7017.84,3
AUS,46,Current prices,1993,AUD,Millions,23610.0,NPI,16999.2,1
AUS,47,Current prices,1993,AUD,Millions,22636.0,NPI,16297.92,1
AUS,68A,Current prices,1993,AUD,Millions,36179.0,NPI,26048.879999999997,1
AUS,TOT,Current prices,1994,AUD,Millions,455248.0,NPI,327778.56,99
AUS,A,Current prices,1994,AUD,Millions,14925.0,NPI,10746.0,3
AUS,B,Current prices,1994,AUD,Millions,21268.0,NPI,15312.96,5
AUS,C,Current prices,1994,AUD,Millions,65029.0,NPI,46820.88,24
AUS,D,Current prices,1994,AUD,Millions,14970.0,NPI,10778.4,1
AUS,F,Current prices,1994,AUD,Millions,29695.0,NPI,21380.399999999998,3
AUS,G,Current prices,1994,AUD,Millions,49023.0,NPI,35296.56,2
AUS,H,Current prices,1994,AUD,Millions,24633.0,NPI,17735.76,5
AUS,I,Current prices,1994,AUD,Millions,12132.0,NPI,8735.039999999999,2
AUS,J,Current prices,1994,AUD,Millions,17657.0,NPI,12713.039999999999,2
AUS,K,Current prices,1994,AUD,Millions,36155.0,NPI,26031.6,3
AUS,L,Current prices,1994,AUD,Millions,48938.0,NPI,35235.36,1
AUS,M,Current prices,1994,AUD,Millions,20088.0,NPI,14463.359999999999,7
AUS,N,Current prices,1994,AUD,Millions,9413.0,NPI,6777.36,6
AUS,O,Current prices,1994,AUD,Millions,28859.0,NPI,20778.48,1
AUS,P,Current prices,1994,AUD,Millions,22582.0,NPI,16259.039999999999,1
AUS,Q,Current prices,1994,AUD,Millions,25665.0,NPI,18478.8,3
AUS,R,Current prices,1994,AUD,Millions,4221.0,NPI,3039.12,4
AUS,S,Current prices,1994,AUD,Millions,9995.0,NPI,7196.4,3
AUS,46,Current prices,1994,AUD,Millions,24605.0,NPI,17715.6,1
