generic_sector_code,reporting_year,prtr_system,gva
59,1994,TRI,39241.8
47,1994,TRI,379736.71
50,1994,TRI,6719.87
94,1994,TRI,43532.45
2,1994,TRI,7722.6
12,1994,TRI,21358.43
58,1994,TRI,96499.79
68,1994,TRI,553816.6
62,1994,TRI,74469.63
74,1994,TRI,49058.97
41,1994,TRI,290393.52
77,1994,TRI,101457.12
66,1994,TRI,63031.84
70,1994,TRI,168834.8
56,1994,TRI,133321.43
81,1994,TRI,37303.14
43,1994,TRI,0.0
53,1994,TRI,73223.04
73,1994,TRI,38439.79
60,1994,TRI,34696.27
29,1995,TRI,104326.11
33,1995,TRI,11582.24
20,1995,TRI,109710.23
25,1995,TRI,108296.54
22,1995,TRI,57315.18
13,1995,TRI,27358.76
38,1995,TRI,16796.56
19,1995,TRI,40551.44
46,1995,TRI,385714.29
6,1995,TRI,51087.24
10,1995,TRI,89077.96
21,1995,TRI,63136.52
11,1995,TRI,12571.82
26,1995,TRI,196832.27
52,1995,TRI,47391.61
24,1995,TRI,58116.07
37,1995,TRI,497.73
5,1995,TRI,12301.54
7,1995,TRI,4094.87
16,1995,TRI,26708.72
35,1995,TRI,150739.44
23,1995,TRI,46539.4
15,1995,TRI,7470.38
8,1995,TRI,8567.8
9,1995,TRI,13455.91
49,1995,TRI,119904.14
27,1995,TRI,46800.23
82,1995,TRI,64224.8
17,1995,TRI,55277.75
1,1995,TRI,104207.97
45,1995,TRI,182933.58
85,1995,TRI,441337.62
96,1995,TRI,73550.45
32,1995,TRI,48959.72
30,1995,TRI,62490.59
28,1995,TRI,102457.55
31,1995,TRI,27895.53
72,1995,TRI,60149.58
86,1995,TRI,414566.78
84,1995,TRI,750295.37
61,1995,TRI,170384.58
36,1995,TRI,3262.09
42,1995,TRI,48527.17
71,1995,TRI,73254.23
51,1995,TRI,48015.89
39,1995,TRI,4558.31
69,1995,TRI,147962.48
18,1995,TRI,37380.65
93,1995,TRI,35741.17
63,1995,TRI,29892.48
95,1995,TRI,23597.01
14,1995,TRI,17672.31
59,1995,TRI,39241.8
47,1995,TRI,379736.71
50,1995,TRI,6719.87
94,1995,TRI,43532.45
2,1995,TRI,7722.6
12,1995,TRI,21358.43
58,1995,TRI,96499.79
68,1995,TRI,553816.6
62,1995,TRI,74469.63
74,1995,TRI,49058.97
41,1995,TRI,290393.52
77,1995,TRI,101457.12
66,1995,TRI,63031.84
70,1995,TRI,168834.8
56,1995,TRI,133321.43
81,1995,TRI,37303.14
43,1995,TRI,0.0
53,1995,TRI,73223.04
73,1995,TRI,38439.79
60,1995,TRI,34696.27
29,1996,TRI,104326.11
33,1996,TRI,11582.24
20,1996,TRI,109710.23
25,1996,TRI,108296.54
22,1996,TRI,57315.18
13,1996,TRI,27358.76
38,1996,TRI,16796.56
19,1996,TRI,40551.44
46,1996,TRI,385714.29
6,1996,TRI,51087.24
10,1996,TRI,89077.96
21,1996,TRI,63136.52
11,1996,TRI,12571.82
26,1996,TRI,196832.27
52,1996,TRI,47391.61
24,1996,TRI,58116.07
37,1996,TRI,497.73
5,1996,TRI,12301.54
7,1996,TRI,4094.87
16,1996,TRI,26708.72
35,1996,TRI,150739.44
23,1996,TRI,46539.4
15,1996,TRI,7470.38
8,1996,TRI,8567.8
9,1996,TRI,13455.91
49,1996,TRI,119904.14
27,1996,TRI,46800.23
82,1996,TRI,64224.8
17,1996,TRI,55277.75
1,1996,TRI,104207.97
45,1996,TRI,182933.58
85,1996,TRI,441337.62
96,1996,TRI,73550.45
32,1996,TRI,48959.72
30,1996,TRI,62490.59
28,1996,TRI,102457.55
31,1996,TRI,27895.53
72,1996,TRI,60149.58
86,1996,TRI,414566.78
84,1996,TRI,750295.37
61,1996,TRI,170384.58
36,1996,TRI,3262.09
42,1996,TRI,48527.17
71,1996,TRI,73254.23
51,1996,TRI,48015.89
39,1996,TRI,4558.31
69,1996,TRI,147962.48
18,1996,TRI,37380.65
93,1996,TRI,35741.17
63,1996,TRI,29892.48
95,1996,TRI,23597.01
14,1996,TRI,17672.31
59,1996,TRI,39241.8
47,1996,TRI,379736.71
50,1996,TRI,6719.87
94,1996,TRI,43532.45
2,1996,TRI,7722.6
12,1996,TRI,21358.43
58,1996,TRI,96499.79
68,1996,TRI,553816.6
62,1996,TRI,74469.63
74,1996,TRI,49058.97
41,1996,TRI,290393.52
77,1996,TRI,101457.12
66,1996,TRI,63031.84
70,1996,TRI,168834.8
56,1996,TRI,133321.43
81,1996,TRI,37303.14
43,1996,TRI,0.0
53,1996,TRI,73223.04
73,1996,TRI,38439.79
60,1996,TRI,34696.27
29,1997,TRI,104326.11
33,1997,TRI,11582.24
20,1997,TRI,109710.23
25,1997,TRI,108296.54
22,1997,TRI,57315.18
13,1997,TRI,27358.76
38,1997,TRI,16796.56
19,1997,TRI,40551.44
46,1997,TRI,385714.29
6,1997,TRI,51087.24
10,1997,TRI,89077.96
21,1997,TRI,63136.52
11,1997,TRI,12571.82
26,1997,TRI,196832.27
52,1997,TRI,47391.61
24,1997,TRI,58116.07
37,1997,TRI,497.73
5,1997,TRI,12301.54
7,1997,TRI,4094.87
16,1997,TRI,26708.72
35,1997,TRI,150739.44
23,1997,TRI,46539.4
15,1997,TRI,7470.38
8,1997,TRI,8567.8
9,1997,TRI,13455.91
49,1997,TRI,119904.14
27,1997,TRI,46800.23
82,1997,TRI,64224.8
17,1997,TRI,55277.75
1,1997,TRI,104207.97
45,1997,TRI,182933.58
85,1997,TRI,441337.62
96,1997,TRI,73550.45
32,1997,TRI,48959.72
30,1997,TRI,62490.59
28,1997,TRI,102457.55
31,1997,TRI,27895.53
72,1997,TRI,60149.58
86,1997,TRI,414566.78
84,1997,TRI,750295.37
61,1997,TRI,170384.58
36,1997,TRI,3262.09
42,1997,TRI,48527.17
71,1997,TRI,73254.23
51,1997,TRI,48015.89
39,1997,TRI,4558.31
69,1997,TRI,147962.48
18,1997,TRI,37380.65
93,1997,TRI,35741.17
63,1997,TRI,29892.48
95,1997,TRI,23597.01
14,1997,TRI,17672.31
59,1997,TRI,39241.8
47,1997,TRI,379736.71
50,1997,TRI,6719.87
94,1997,TRI,43532.45
2,1997,TRI,7722.6
12,1997,TRI,21358.43
58,1997,TRI,96499.79
68,1997,TRI,553816.6
62,1997,TRI,74469.63
74,1997,TRI,49058.97
41,1997,TRI,290393.52
77,1997,TRI,101457.12
66,1997,TRI,63031.84
70,1997,TRI,168834.8
56,1997,TRI,133321.43
81,1997,TRI,37303.14
43,1997,TRI,0.0
53,1997,TRI,73223.04
73,1997,TRI,38439.79
60,1997,TRI,34696.27
29,1998,TRI,115244.19
33,1998,TRI,13287.74
20,1998,TRI,109507.14
25,1998,TRI,110592.84
22,1998,TRI,61519.99
13,1998,TRI,28047.28
38,1998,TRI,17407.42
19,1998,TRI,41729.66
46,1998,TRI,414986.68
6,1998,TRI,36087.1
10,1998,TRI,92133.15
21,1998,TRI,70914.76
11,1998,TRI,13141.59
26,1998,TRI,193255.73
52,1998,TRI,54097.39
24,1998,TRI,59345.36
37,1998,TRI,495.07
5,1998,TRI,13721.96
7,1998,TRI,4290.65
16,1998,TRI,27425.15
35,1998,TRI,142657.9
23,1998,TRI,49044.28
15,1998,TRI,6592.34
8,1998,TRI,9559.48
9,1998,TRI,13577.26
49,1998,TRI,134217.53
27,1998,TRI,40511.52
