national_facility_and_generic_sector_id,generic_sector_code,sector
16716,25,4.384000622327908
38675,25,4.384000622327908
10025,25,4.384000622327908
62664,25,4.384000622327908
39962,25,4.384000622327908
36646,25,4.384000622327908
36893,25,4.384000622327908
27894,25,4.384000622327908
16515,25,4.384000622327908
34313,25,4.384000622327908
55779,25,4.384000622327908
48399,25,4.384000622327908
60220,25,4.384000622327908
57551,25,4.384000622327908
8405,25,4.384000622327908
58352,25,4.384000622327908
19357,25,4.384000622327908
20579,25,4.384000622327908
32020,28,4.687371624275464
41179,24,4.720494698936228
22000,22,3.844832709692199
30858,24,4.720494698936228
55844,28,4.687371624275464
58286,25,4.384000622327908
42659,25,4.384000622327908
44993,28,4.687371624275464
54200,26,4.029764486677171
24774,26,4.029764486677171
58959,26,4.029764486677171
48024,27,4.33176213250464
16154,27,4.33176213250464
30050,27,4.33176213250464
46808,27,4.33176213250464
8260,27,4.33176213250464
12447,27,4.33176213250464
21501,29,4.088547011141102
51524,29,4.088547011141102
31300,28,4.687371624275464
28763,27,4.33176213250464
54479,27,4.33176213250464
38256,25,4.384000622327908
29001,28,4.687371624275464
51188,30,4.417699950228338
8703,25,4.384000622327908
56503,32,4.1764416285691395
45255,20,3.443381881561369
48434,20,3.443381881561369
44049,22,3.844832709692199
19875,24,4.720494698936228
28434,24,4.720494698936228
22829,24,4.720494698936228
12329,24,4.720494698936228
31959,24,4.720494698936228
16720,24,4.720494698936228
30216,24,4.720494698936228
31884,24,4.720494698936228
43719,24,4.720494698936228
62342,24,4.720494698936228
35786,24,4.720494698936228
30991,24,4.720494698936228
35178,24,4.720494698936228
36378,24,4.720494698936228
10472,24,4.720494698936228
38813,24,4.720494698936228
32646,24,4.720494698936228
27601,25,4.384000622327908
14744,25,4.384000622327908
18941,30,4.417699950228338
18291,25,4.384000622327908
43011,25,4.384000622327908
36930,25,4.384000622327908
49909,25,4.384000622327908
9714,25,4.384000622327908
16707,25,4.384000622327908
12947,28,4.687371624275464
21681,28,4.687371624275464
10376,22,3.844832709692199
17110,24,4.720494698936228
52110,25,4.384000622327908
38737,28,4.687371624275464
32063,28,4.687371624275464
44481,28,4.687371624275464
13099,26,4.029764486677171
60648,26,4.029764486677171
17006,26,4.029764486677171
58315,26,4.029764486677171
19923,26,4.029764486677171
55463,27,4.33176213250464
6651,27,4.33176213250464
16996,27,4.33176213250464
14475,27,4.33176213250464
6656,27,4.33176213250464
16581,27,4.33176213250464
21202,27,4.33176213250464
29772,27,4.33176213250464
34263,27,4.33176213250464
30601,29,4.088547011141102
54209,29,4.088547011141102
8985,29,4.088547011141102
29553,29,4.088547011141102
34135,28,4.687371624275464
22678,27,4.33176213250464
33982,28,4.687371624275464
56120,25,4.384000622327908
15681,28,4.687371624275464
42012,28,4.687371624275464
52081,46,4.191771452873996
49279,19,4.091500417451056
54458,24,4.720494698936228
54439,24,4.720494698936228
22838,24,4.720494698936228
8339,24,4.720494698936228
23062,24,4.720494698936228
40163,24,4.720494698936228
41120,24,4.720494698936228
43855,24,4.720494698936228
46619,24,4.720494698936228
37699,24,4.720494698936228
37782,24,4.720494698936228
59272,24,4.720494698936228
35711,25,4.384000622327908
9216,25,4.384000622327908
32386,25,4.384000622327908
50368,25,4.384000622327908
47989,25,4.384000622327908
10377,25,4.384000622327908
12718,25,4.384000622327908
15988,28,4.687371624275464
29473,25,4.384000622327908
58137,25,4.384000622327908
54430,25,4.384000622327908
24198,28,4.687371624275464
57955,28,4.687371624275464
